question, answer
what was napoleon's lasting impact on the world?,modernizing reforms,development of nation states
what did he sell to the united states in 1803?,louisiana territory
what was the size of the louisiana territory?,doubled the size of the united states
what negatively affected napoleon's reputation?,record on civil rights,exploitation of conquered territories
what was the origin of napoleon's family?,italian
what was the background of his paternal ancestors?,minor tuscan noble family,emigrated to corsica
what was the background of his maternal ancestors?,minor genoese noble family
who was resentful of the french monarchy?,he was resentful of the french monarchy
what did he support?,he supported the french revolution in 1789
what did he try to do while serving in the french army?,he tried to spread its ideals to his native corsica
how did he rise rapidly in the ranks?,he rose rapidly in the ranks after saving the governing french directory by firing on royalist insurgents
what did he do in 1796?,in 1796,he began a military campaign against the austrians and their italian allies
what did he score?,he scored decisive victories
what did he become?,he became a national hero
what did he lead in 1798?,he led a military expedition to egypt that served as a springboard to political power
what did he do in november 1799?,he engineered a coup in november 1799
what did he become in 1799?,he became first consul of the republic
what did he do in 1804?,in 1804,to consolidate and expand his power,he crowned himself emperor of the french
what happened by 1805?,by 1805,differences with the united kingdom meant france faced the war of the third coalition
what did napoleon do in the ulm campaign and at the battle of austerlitz?,napoleon shattered this coalition with victories in the ulm campaign and at the battle of austerlitz
what happened to the holy roman empire as a result?,this led to the dissolution of the holy roman empire
what happened in 1806?,in 1806,the fourth coalition took up arms against him
who did napoleon defeat at the battles of jena and auerstedt?,napoleon defeated prussia at the battles of jena and auerstedt
what did napoleon do after defeating prussia?,he marched the grande armée into eastern europe
who did napoleon defeat in june 1807?,he defeated the russians in june 1807
where did napoleon defeat the russians?,he defeated the russians at friedland
what did the defeated nations of the fourth coalition do?,they were forced to accept the treaties of tilsit
what happened in 1809?,in 1809,the austrians challenged the french again during the war of the fifth coalition
what did napoleon do after triumphing at the battle of wagram?,he solidified his grip over europe after triumphing at the battle of wagram
what did napoleon hope to do by extending the continental system?,he hoped to extend the continental system,his embargo against britain
what did napoleon do in 1808?,he invaded the iberian peninsula and declared his brother joseph the king of spain in 1808
what happened in the peninsular war?,the spanish and the portuguese revolted in the peninsular war aided by a british army,culminating in defeat for napoleon's marshals
what did napoleon do in the summer of 1812?,he launched an invasion of russia in the summer of 1812
what happened to napoleon's grande armée?,the resulting campaign witnessed the catastrophic retreat of napoleon's grande armée
what happened in 1813?,in 1813,prussia and austria joined russian forces in a sixth coalition against france
